# Saturn cartridge database.
# RAM cart source: https://www.satakore.com/cartridge.php
# RAM cart source section: "Complete list of games and demos that require or are compatible with one of the external cartridges".
# RAM cart source checked: 2026-05-28.
# Backup Memory source: https://segaretro.org/Saturn_Backup_Memory
# Backup Memory source checked: 2026-05-31.
# Satakore lists 57 external-cartridge entries. This file includes the RAM-cart-relevant entries and excludes ROM-cart-only titles.
# Format: <UUID> <cart-type> # <source title/notes>
# UUID is the trimmed Saturn System ID product number at IP.BIN offset 0x20.
# Supported cart types: 1M, 4M, BACKUP.
# RAM cart selection policy: choose 4M when Satakore lists both 1M and 4M; choose 1M when Satakore marks the title 1M-only/corrupt with 4M.
# Collection SKUs with per-game RAM caveats need exact-disc validation before blacklisting.

T-1521G 4M # Astra Superstars; Satakore: 1MB optional / 4MB optional.
T-9904G 4M # Cotton 2; Satakore: 1MB optional / 4MB optional.
T-1217G 4M # Cyberbots FullMetal Madness; Satakore: 1MB optional 3M RAM mode / 4MB optional 3M RAM mode.
T-1216G 4M # Cyberbots FullMetal Madness Chou Genteiban; Satakore: 1MB optional 3M RAM mode / 4MB optional 3M RAM mode.
T-1224G 4M # Dungeons & Dragons Collection; Satakore: 4MB only for Shadow Over Mystara CD2.
T-1245G 4M # Dungeons & Dragons Collection RAM cart bundle; local test: Tower of Doom plays with 4M, Shadow over Mystara requires 4M.
GS-9107 4M # Fighter's History Dynamite; Satakore: 1MB / 4MB.
GS-9153 4M # Fighter's History Dynamite RAM cart bundle; Satakore: 1MB / 4MB.
T-1249G 4M # Final Fight Revenge; Satakore: 4MB.
T-1248G 4M # Final Fight Revenge RAM cart bundle; Satakore: 4MB.
T-20109G 4M # Friends Seishun no Kagayaki; Satakore: 1MB optional / 4MB optional.
T-14411G 4M # Groove on Fight; Satakore: 1MB / 4MB.
T-14413G 4M # Groove on Fight RAM cart bundle; Satakore: 1MB / 4MB.
T-7032H-05 4M # Marvel Super Heroes; Satakore: unofficial 1MB optional 3M RAM mode / 4MB optional 3M RAM mode.
T-7032H-50 4M # Marvel Super Heroes; Satakore: unofficial 1MB optional 3M RAM mode / 4MB optional 3M RAM mode.
